年月,地區,信用卡產業別,年齡層,信用卡交易筆數,信用卡交易金額[新臺幣],編號
201401,臺灣,食,未滿20歲,11424,19735674,1
201401,臺灣,食,未滿20歲,11424,19735674,1
201401,臺灣,食,20(含)-25歲,241527,287356853,2
201401,臺灣,食,25(含)-30歲,912864,1279850142,3
201401,臺灣,食,30(含)-35歲,1731682,2632920544,4
201401,臺灣,食,35(含)-40歲,2175747,3439299617,5
201401,臺灣,食,40(含)-45歲,2256695,3744015542,6
201401,臺灣,食,45(含)-50歲,2103541,3561357770,7
201401,臺灣,食,50(含)-55歲,1658880,2928097746,8
201401,臺灣,食,55(含)-60歲,1171728,2114146945,9
201401,臺灣,食,60(含)-65歲,757042,1337749581,10
201401,臺灣,食,65(含)-70歲,294047,478944788,11
201401,臺灣,食,70(含)-75歲,134747,214941908,12
201401,臺灣,食,75(含)-80歲,54827,86900297,13
201401,臺灣,食,80(含)歲以上,44952,78367457,14
201401,臺灣,衣,未滿20歲,3755,8508927,15
201401,臺灣,衣,20(含)-25歲,80083,188940440,16
201401,臺灣,衣,25(含)-30歲,230807,586978455,17
201401,臺灣,衣,30(含)-35歲,398551,1040481032,18
201401,臺灣,衣,35(含)-40歲,453940,1212533328,19
201401,臺灣,衣,40(含)-45歲,420302,1211674958,20
201401,臺灣,衣,45(含)-50歲,344288,1120044160,21
201401,臺灣,衣,50(含)-55歲,220779,820454844,22
201401,臺灣,衣,55(含)-60歲,125173,521380316,23
201401,臺灣,衣,60(含)-65歲,63680,270662886,24
201401,臺灣,衣,65(含)-70歲,19920,83289633,25
201401,臺灣,衣,70(含)-75歲,6854,30919296,26
201401,臺灣,衣,75(含)-80歲,2185,10132954,27
201401,臺灣,衣,80(含)歲以上,6054,25072328,28
201401,臺灣,住,未滿20歲,2262,17761071,29
201401,臺灣,住,20(含)-25歲,43373,164834966,30
201401,臺灣,住,25(含)-30歲,172912,714701446,31
201401,臺灣,住,30(含)-35歲,328094,1477099752,32
201401,臺灣,住,35(含)-40歲,395091,1878149759,33
201401,臺灣,住,40(含)-45歲,399507,1988973094,34
201401,臺灣,住,45(含)-50歲,366616,1943301577,35
201401,臺灣,住,50(含)-55歲,280015,1494819682,36
201401,臺灣,住,55(含)-60歲,190959,1172323756,37
201401,臺灣,住,60(含)-65歲,111336,666983237,38
201401,臺灣,住,65(含)-70歲,40496,220840864,39
201401,臺灣,住,70(含)-75歲,16858,90780722,40
201401,臺灣,住,75(含)-80歲,6666,36651351,41
201401,臺灣,住,80(含)歲以上,7304,51514098,42
201401,臺灣,行,未滿20歲,18570,16450625,43
201401,臺灣,行,20(含)-25歲,365014,255058082,44
201401,臺灣,行,25(含)-30歲,1328697,1125870969,45
201401,臺灣,行,30(含)-35歲,2148372,2133278494,46
201401,臺灣,行,35(含)-40歲,2221930,2523263931,47
201401,臺灣,行,40(含)-45歲,2059146,2530592739,48
201401,臺灣,行,45(含)-50歲,1828097,2324339064,49
201401,臺灣,行,50(含)-55歲,1464829,1889388530,50
201401,臺灣,行,55(含)-60歲,998025,1289767033,51
201401,臺灣,行,60(含)-65歲,562931,712780369,52
201401,臺灣,行,65(含)-70歲,185298,219698307,53
201401,臺灣,行,70(含)-75歲,67337,81629096,54
201401,臺灣,行,75(含)-80歲,20105,24668615,55
201401,臺灣,行,80(含)歲以上,21367,28706040,56
201401,臺灣,文教康樂,未滿20歲,8015,44220468,57
201401,臺灣,文教康樂,20(含)-25歲,153249,495455195,58
201401,臺灣,文教康樂,25(含)-30歲,449904,1615838621,59
201401,臺灣,文教康樂,30(含)-35歲,627322,2627152057,60
201401,臺灣,文教康樂,35(含)-40歲,645717,3080734386,61
201401,臺灣,文教康樂,40(含)-45歲,610806,3489212219,62
201401,臺灣,文教康樂,45(含)-50歲,510983,3407361953,63
201401,臺灣,文教康樂,50(含)-55歲,343947,2578881176,64
201401,臺灣,文教康樂,55(含)-60歲,203725,1623577613,65
201401,臺灣,文教康樂,60(含)-65歲,114238,946476713,66
201401,臺灣,文教康樂,65(含)-70歲,41235,355237451,67
201401,臺灣,文教康樂,70(含)-75歲,17156,153809267,68
201401,臺灣,文教康樂,75(含)-80歲,6444,60506527,69
201401,臺灣,文教康樂,80(含)歲以上,10037,85919498,70
201401,臺灣,百貨,未滿20歲,8723,21489737,71
201401,臺灣,百貨,20(含)-25歲,191773,423897196,72
201401,臺灣,百貨,25(含)-30歲,657071,1651281176,73
201401,臺灣,百貨,30(含)-35歲,1129687,2893149452,74
201401,臺灣,百貨,35(含)-40歲,1271010,3382956726,75
201401,臺灣,百貨,40(含)-45歲,1154919,3334743656,76
201401,臺灣,百貨,45(含)-50歲,951686,3017239228,77
201401,臺灣,百貨,50(含)-55歲,644636,2296893971,78
201401,臺灣,百貨,55(含)-60歲,397994,1458518365,79
201401,臺灣,百貨,60(含)-65歲,229278,823632391,80
201401,臺灣,百貨,65(含)-70歲,81265,285953773,81
201401,臺灣,百貨,70(含)-75歲,34198,122306112,82
201401,臺灣,百貨,75(含)-80歲,14855,48726729,83
201401,臺灣,百貨,80(含)歲以上,15135,47988628,84
201401,臺灣,其他,未滿20歲,13980,28413792,85
201401,臺灣,其他,20(含)-25歲,355666,838803461,86
201401,臺灣,其他,25(含)-30歲,1400435,3453222662,87
201401,臺灣,其他,30(含)-35歲,2533010,6712638461,88
201401,臺灣,其他,35(含)-40歲,2919460,8673944452,89
201401,臺灣,其他,40(含)-45歲,2666890,8880039864,90
201401,臺灣,其他,45(含)-50歲,2260809,8504118200,91
201401,臺灣,其他,50(含)-55歲,1594407,6748792244,92
201401,臺灣,其他,55(含)-60歲,988972,4504590061,93
201401,臺灣,其他,60(含)-65歲,531217,2586203793,94
201401,臺灣,其他,65(含)-70歲,164496,846936169,95
201401,臺灣,其他,70(含)-75歲,60567,336235031,96
201401,臺灣,其他,75(含)-80歲,19697,97279605,97
201401,臺灣,其他,80(含)歲以上,33841,199227240,98
201402,臺灣,食,未滿20歲,9929,15124668,99
201402,臺灣,食,20(含)-25歲,205994,228548055,100
201402,臺灣,食,25(含)-30歲,765577,960572952,101
201402,臺灣,食,30(含)-35歲,1432914,1848257137,102
201402,臺灣,食,35(含)-40歲,1773107,2262150808,103
201402,臺灣,食,40(含)-45歲,1815644,2368481437,104
201402,臺灣,食,45(含)-50歲,1681701,2288566178,105
201402,臺灣,食,50(含)-55歲,1293934,1860987178,106
201402,臺灣,食,55(含)-60歲,889608,1331941769,107
201402,臺灣,食,60(含)-65歲,566578,843432616,108
201402,臺灣,食,65(含)-70歲,221312,330491773,109
201402,臺灣,食,70(含)-75歲,98772,145874523,110
201402,臺灣,食,75(含)-80歲,41405,64725016,111
201402,臺灣,食,80(含)歲以上,33955,58022111,112
201402,臺灣,衣,未滿20歲,2939,6535489,113
201402,臺灣,衣,20(含)-25歲,60646,136091899,114
201402,臺灣,衣,25(含)-30歲,159889,391019259,115
201402,臺灣,衣,30(含)-35歲,261602,660495784,116
201402,臺灣,衣,35(含)-40歲,276657,698346989,117
201402,臺灣,衣,40(含)-45歲,248245,669338672,118
201402,臺灣,衣,45(含)-50歲,212537,646888132,119
201402,臺灣,衣,50(含)-55歲,150475,525241156,120
201402,臺灣,衣,55(含)-60歲,88873,349343553,121
201402,臺灣,衣,60(含)-65歲,46319,182950676,122
201402,臺灣,衣,65(含)-70歲,14054,54841596,123
201402,臺灣,衣,70(含)-75歲,5096,20172473,124
201402,臺灣,衣,75(含)-80歲,1594,6305348,125
201402,臺灣,衣,80(含)歲以上,3812,15643522,126
201402,臺灣,住,未滿20歲,2017,13400404,127
201402,臺灣,住,20(含)-25歲,38976,128264391,128
201402,臺灣,住,25(含)-30歲,147754,524172589,129
201402,臺灣,住,30(含)-35歲,271845,1059674125,130
201402,臺灣,住,35(含)-40歲,318993,1315914126,131
201402,臺灣,住,40(含)-45歲,309831,1356416697,132
201402,臺灣,住,45(含)-50歲,279751,1345678422,133
201402,臺灣,住,50(含)-55歲,210768,993613165,134
201402,臺灣,住,55(含)-60歲,141969,798608640,135
201402,臺灣,住,60(含)-65歲,81925,425876372,136
201402,臺灣,住,65(含)-70歲,30253,153133091,137
201402,臺灣,住,70(含)-75歲,12377,61057855,138
201402,臺灣,住,75(含)-80歲,5208,28152429,139
201402,臺灣,住,80(含)歲以上,5686,38857915,140
201402,臺灣,行,未滿20歲,16466,17961438,141
201402,臺灣,行,20(含)-25歲,319231,234880885,142
201402,臺灣,行,25(含)-30歲,1174419,1032850089,143
201402,臺灣,行,30(含)-35歲,1930330,1940154124,144
201402,臺灣,行,35(含)-40歲,2012059,2279403938,145
201402,臺灣,行,40(含)-45歲,1857835,2256969701,146
201402,臺灣,行,45(含)-50歲,1648937,2063947800,147
201402,臺灣,行,50(含)-55歲,1323096,1681566299,148
201402,臺灣,行,55(含)-60歲,895836,1153648358,149
201402,臺灣,行,60(含)-65歲,501987,638719515,150
201402,臺灣,行,65(含)-70歲,165778,200187360,151
201402,臺灣,行,70(含)-75歲,58861,71246265,152
201402,臺灣,行,75(含)-80歲,17630,21791675,153
201402,臺灣,行,80(含)歲以上,18709,26245779,154
201402,臺灣,文教康樂,未滿20歲,8386,36451518,155
201402,臺灣,文教康樂,20(含)-25歲,166557,540994316,156
201402,臺灣,文教康樂,25(含)-30歲,470014,1663967297,157
201402,臺灣,文教康樂,30(含)-35歲,640731,2611014581,158
201402,臺灣,文教康樂,35(含)-40歲,649298,2841205751,159
201402,臺灣,文教康樂,40(含)-45歲,627157,3331072720,160
201402,臺灣,文教康樂,45(含)-50歲,560247,4171470316,161
201402,臺灣,文教康樂,50(含)-55歲,382558,3373972296,162
201402,臺灣,文教康樂,55(含)-60歲,212451,1786053061,163
201402,臺灣,文教康樂,60(含)-65歲,112938,896576116,164
201402,臺灣,文教康樂,65(含)-70歲,40024,337354866,165
201402,臺灣,文教康樂,70(含)-75歲,16340,140740856,166
201402,臺灣,文教康樂,75(含)-80歲,5980,51840983,167
201402,臺灣,文教康樂,80(含)歲以上,9984,90833046,168
201402,臺灣,百貨,未滿20歲,8152,17469417,169
201402,臺灣,百貨,20(含)-25歲,176784,394263447,170
201402,臺灣,百貨,25(含)-30歲,572122,1418347137,171
201402,臺灣,百貨,30(含)-35歲,949180,2365616958,172
201402,臺灣,百貨,35(含)-40歲,1036620,2600229228,173
201402,臺灣,百貨,40(含)-45歲,929511,2487962078,174
201402,臺灣,百貨,45(含)-50歲,770818,2273845789,175
201402,臺灣,百貨,50(含)-55歲,532371,1753504577,176
201402,臺灣,百貨,55(含)-60歲,327536,1124539905,177
201402,臺灣,百貨,60(含)-65歲,183916,626386454,178
201402,臺灣,百貨,65(含)-70歲,63894,212520928,179
201402,臺灣,百貨,70(含)-75歲,26411,87721518,180
201402,臺灣,百貨,75(含)-80歲,10962,35657989,181
201402,臺灣,百貨,80(含)歲以上,12089,37065687,182
201402,臺灣,其他,未滿20歲,12722,30468780,183
201402,臺灣,其他,20(含)-25歲,316370,719316864,184
201402,臺灣,其他,25(含)-30歲,1233148,2816768198,185
201402,臺灣,其他,30(含)-35歲,2252985,5537045212,186
201402,臺灣,其他,35(含)-40歲,2620194,7139222661,187
201402,臺灣,其他,40(含)-45歲,2397488,7334700872,188
201402,臺灣,其他,45(含)-50歲,2037063,7267217577,189
201402,臺灣,其他,50(含)-55歲,1437113,5749734611,190
201402,臺灣,其他,55(含)-60歲,877008,3751109998,191
201402,臺灣,其他,60(含)-65歲,467333,2034663368,192
201402,臺灣,其他,65(含)-70歲,143918,649555054,193
201402,臺灣,其他,70(含)-75歲,51825,275369336,194
201402,臺灣,其他,75(含)-80歲,16705,77062692,195
201402,臺灣,其他,80(含)歲以上,29795,170353937,196
201403,臺灣,食,未滿20歲,11040,15577922,197
201403,臺灣,食,20(含)-25歲,241623,253257996,198
201403,臺灣,食,25(含)-30歲,870437,1053371812,199
201403,臺灣,食,30(含)-35歲,1641908,2067742814,200
201403,臺灣,食,35(含)-40歲,2047167,2514833090,201
201403,臺灣,食,40(含)-45歲,2085952,2534692219,202
201403,臺灣,食,45(含)-50歲,1918107,2395896159,203
201403,臺灣,食,50(含)-55歲,1489233,1950377970,204
201403,臺灣,食,55(含)-60歲,1047248,1428457491,205
201403,臺灣,食,60(含)-65歲,679662,914393444,206
201403,臺灣,食,65(含)-70歲,270553,349431820,207
201403,臺灣,食,70(含)-75歲,120324,153144651,208
201403,臺灣,食,75(含)-80歲,50261,63772980,209
201403,臺灣,食,80(含)歲以上,40017,56590284,210
201403,臺灣,衣,未滿20歲,3107,7243289,211
201403,臺灣,衣,20(含)-25歲,68311,144471637,212
201403,臺灣,衣,25(含)-30歲,188035,449787205,213
201403,臺灣,衣,30(含)-35歲,310964,765980213,214
201403,臺灣,衣,35(含)-40歲,320437,815304810,215
201403,臺灣,衣,40(含)-45歲,268582,732086988,216
201403,臺灣,衣,45(含)-50歲,223570,698210701,217
201403,臺灣,衣,50(含)-55歲,158918,565746240,218
201403,臺灣,衣,55(含)-60歲,99317,388657414,219
201403,臺灣,衣,60(含)-65歲,52801,209815925,220
201403,臺灣,衣,65(含)-70歲,16895,67062070,221
201403,臺灣,衣,70(含)-75歲,5655,23343381,222
201403,臺灣,衣,75(含)-80歲,1840,7988782,223
201403,臺灣,衣,80(含)歲以上,4384,17243365,224
201403,臺灣,住,未滿20歲,1905,13572716,225
201403,臺灣,住,20(含)-25歲,38988,129856043,226
201403,臺灣,住,25(含)-30歲,148759,551300561,227
201403,臺灣,住,30(含)-35歲,275588,1123408574,228
201403,臺灣,住,35(含)-40歲,318838,1372108081,229
201403,臺灣,住,40(含)-45歲,303138,1376603327,230
201403,臺灣,住,45(含)-50歲,272041,1384246407,231
201403,臺灣,住,50(含)-55歲,210552,1061009267,232
201403,臺灣,住,55(含)-60歲,149053,909231948,233
201403,臺灣,住,60(含)-65歲,88609,506021697,234
201403,臺灣,住,65(含)-70歲,33498,178482937,235
201403,臺灣,住,70(含)-75歲,13640,69082717,236
201403,臺灣,住,75(含)-80歲,5728,30127486,237
201403,臺灣,住,80(含)歲以上,6475,49456485,238
201403,臺灣,行,未滿20歲,21268,21277161,239
201403,臺灣,行,20(含)-25歲,385632,278409746,240
201403,臺灣,行,25(含)-30歲,1346690,1164284026,241
201403,臺灣,行,30(含)-35歲,2183094,2179247881,242
201403,臺灣,行,35(含)-40歲,2264070,2566911804,243
201403,臺灣,行,40(含)-45歲,2074066,2555568985,244
201403,臺灣,行,45(含)-50歲,1843937,2333343187,245
201403,臺灣,行,50(含)-55歲,1479683,1904444461,246
201403,臺灣,行,55(含)-60歲,1020498,1326333090,247
201403,臺灣,行,60(含)-65歲,582357,754575762,248
201403,臺灣,行,65(含)-70歲,197247,242142950,249
201403,臺灣,行,70(含)-75歲,70241,86801387,250
201403,臺灣,行,75(含)-80歲,21692,27757997,251
201403,臺灣,行,80(含)歲以上,21491,30295247,252
201403,臺灣,文教康樂,未滿20歲,7977,31764316,253
201403,臺灣,文教康樂,20(含)-25歲,179149,533480674,254
201403,臺灣,文教康樂,25(含)-30歲,513796,1789609189,255
201403,臺灣,文教康樂,30(含)-35歲,684700,2842620402,256
201403,臺灣,文教康樂,35(含)-40歲,659152,2921144394,257
201403,臺灣,文教康樂,40(含)-45歲,580358,2778143230,258
201403,臺灣,文教康樂,45(含)-50歲,477179,2578799705,259
201403,臺灣,文教康樂,50(含)-55歲,340441,2269391942,260
201403,臺灣,文教康樂,55(含)-60歲,219017,1766572646,261
201403,臺灣,文教康樂,60(含)-65歲,128730,1168918133,262
201403,臺灣,文教康樂,65(含)-70歲,48914,491740180,263
201403,臺灣,文教康樂,70(含)-75歲,20398,218293681,264
201403,臺灣,文教康樂,75(含)-80歲,7575,86493483,265
201403,臺灣,文教康樂,80(含)歲以上,10648,92410116,266
201403,臺灣,百貨,未滿20歲,7794,15021137,267
201403,臺灣,百貨,20(含)-25歲,175387,354688882,268
201403,臺灣,百貨,25(含)-30歲,577195,1340906816,269
201403,臺灣,百貨,30(含)-35歲,973930,2355351174,270
201403,臺灣,百貨,35(含)-40歲,1053183,2609905889,271
201403,臺灣,百貨,40(含)-45歲,904990,2391849772,272
201403,臺灣,百貨,45(含)-50歲,737875,2182429583,273
201403,臺灣,百貨,50(含)-55歲,517644,1705414442,274
201403,臺灣,百貨,55(含)-60歲,336264,1161158544,275
201403,臺灣,百貨,60(含)-65歲,199361,682423703,276
201403,臺灣,百貨,65(含)-70歲,72526,249268975,277
201403,臺灣,百貨,70(含)-75歲,29510,99959988,278
201403,臺灣,百貨,75(含)-80歲,12813,39677847,279
201403,臺灣,百貨,80(含)歲以上,13418,39007372,280
201403,臺灣,其他,未滿20歲,15733,26774436,281
201403,臺灣,其他,20(含)-25歲,367568,784434947,282
201403,臺灣,其他,25(含)-30歲,1420658,3241748272,283
201403,臺灣,其他,30(含)-35歲,2590990,6429610096,284
201403,臺灣,其他,35(含)-40歲,3006318,8346548943,285
201403,臺灣,其他,40(含)-45歲,2715659,8513688084,286
201403,臺灣,其他,45(含)-50歲,2292943,8051222547,287
201403,臺灣,其他,50(含)-55歲,1630054,6508485310,288
201403,臺灣,其他,55(含)-60歲,1011868,4593611504,289
201403,臺灣,其他,60(含)-65歲,546882,2738575611,290
201403,臺灣,其他,65(含)-70歲,172656,902525150,291
201403,臺灣,其他,70(含)-75歲,61670,350255988,292
201403,臺灣,其他,75(含)-80歲,19858,122896814,293
201403,臺灣,其他,80(含)歲以上,34378,203567747,294
201404,臺灣,食,未滿20歲,10164,14507750,295
201404,臺灣,食,20(含)-25歲,226732,234436554,296
201404,臺灣,食,25(含)-30歲,821990,974546135,297
201404,臺灣,食,30(含)-35歲,1564101,1933643572,298
201404,臺灣,食,35(含)-40歲,1968782,2353659664,299
201404,臺灣,食,40(含)-45歲,2015270,2426056770,300
201404,臺灣,食,45(含)-50歲,1866546,2319856428,301
201404,臺灣,食,50(含)-55歲,1455507,1884917346,302
201404,臺灣,食,55(含)-60歲,1022889,1354807709,303
201404,臺灣,食,60(含)-65歲,659438,879671977,304
201404,臺灣,食,65(含)-70歲,267168,344814972,305
201404,臺灣,食,70(含)-75歲,117398,147602025,306
201404,臺灣,食,75(含)-80歲,48680,59476854,307
201404,臺灣,食,80(含)歲以上,38981,54244404,308
201404,臺灣,衣,未滿20歲,2931,6479200,309
201404,臺灣,衣,20(含)-25歲,65832,136350578,310
201404,臺灣,衣,25(含)-30歲,186134,433262083,311
201404,臺灣,衣,30(含)-35歲,314754,770228133,312
201404,臺灣,衣,35(含)-40歲,326539,810477878,313
201404,臺灣,衣,40(含)-45歲,269685,715712832,314
201404,臺灣,衣,45(含)-50歲,217284,655811451,315
201404,臺灣,衣,50(含)-55歲,151338,530499761,316
201404,臺灣,衣,55(含)-60歲,92697,368586346,317
201404,臺灣,衣,60(含)-65歲,49805,199579275,318
201404,臺灣,衣,65(含)-70歲,16467,70120103,319
201404,臺灣,衣,70(含)-75歲,5756,26314629,320
201404,臺灣,衣,75(含)-80歲,1807,7864012,321
201404,臺灣,衣,80(含)歲以上,4436,17856249,322
201404,臺灣,住,未滿20歲,1731,17693369,323
201404,臺灣,住,20(含)-25歲,36578,137681591,324
201404,臺灣,住,25(含)-30歲,140256,567970441,325
201404,臺灣,住,30(含)-35歲,262331,1182005728,326
201404,臺灣,住,35(含)-40歲,310493,1492385003,327
201404,臺灣,住,40(含)-45歲,296732,1502665152,328
201404,臺灣,住,45(含)-50歲,268932,1476976961,329
201404,臺灣,住,50(含)-55歲,208418,1146762371,330
201404,臺灣,住,55(含)-60歲,145028,929766180,331
201404,臺灣,住,60(含)-65歲,85799,512051149,332
201404,臺灣,住,65(含)-70歲,33416,183907408,333
201404,臺灣,住,70(含)-75歲,13417,67280194,334
201404,臺灣,住,75(含)-80歲,5579,26470775,335
201404,臺灣,住,80(含)歲以上,6269,49060790,336
201404,臺灣,行,未滿20歲,19536,21768951,337
201404,臺灣,行,20(含)-25歲,371531,258826025,338
201404,臺灣,行,25(含)-30歲,1292687,1095179662,339
201404,臺灣,行,30(含)-35歲,2101572,2053325041,340
201404,臺灣,行,35(含)-40歲,2187654,2439671446,341
201404,臺灣,行,40(含)-45歲,2004453,2419405798,342
201404,臺灣,行,45(含)-50歲,1778547,2227197223,343
201404,臺灣,行,50(含)-55歲,1426996,1817931890,344
201404,臺灣,行,55(含)-60歲,979601,1259788641,345
201404,臺灣,行,60(含)-65歲,557089,706364546,346
201404,臺灣,行,65(含)-70歲,191932,231013688,347
201404,臺灣,行,70(含)-75歲,67107,82204156,348
201404,臺灣,行,75(含)-80歲,20555,24933553,349
201404,臺灣,行,80(含)歲以上,20616,28518821,350
201404,臺灣,文教康樂,未滿20歲,7178,32211246,351
201404,臺灣,文教康樂,20(含)-25歲,170366,510357880,352
201404,臺灣,文教康樂,25(含)-30歲,482216,1712458784,353
201404,臺灣,文教康樂,30(含)-35歲,643841,2715167232,354
201404,臺灣,文教康樂,35(含)-40歲,626029,2901491678,355
201404,臺灣,文教康樂,40(含)-45歲,549076,2792894066,356
201404,臺灣,文教康樂,45(含)-50歲,450681,2643486826,357
201404,臺灣,文教康樂,50(含)-55歲,322811,2384610737,358
201404,臺灣,文教康樂,55(含)-60歲,207555,1924798433,359
201404,臺灣,文教康樂,60(含)-65歲,122938,1282770258,360
201404,臺灣,文教康樂,65(含)-70歲,47919,578580900,361
201404,臺灣,文教康樂,70(含)-75歲,20132,265231190,362
201404,臺灣,文教康樂,75(含)-80歲,7367,92122068,363
201404,臺灣,文教康樂,80(含)歲以上,10604,107567806,364
201404,臺灣,百貨,未滿20歲,7210,15403431,365
201404,臺灣,百貨,20(含)-25歲,181814,407156949,366
201404,臺灣,百貨,25(含)-30歲,613325,1614866263,367
201404,臺灣,百貨,30(含)-35歲,1044127,2866720434,368
201404,臺灣,百貨,35(含)-40歲,1128412,3171764360,369
201404,臺灣,百貨,40(含)-45歲,968586,2871960368,370
201404,臺灣,百貨,45(含)-50歲,789894,2628619939,371
201404,臺灣,百貨,50(含)-55歲,559238,2118265249,372
201404,臺灣,百貨,55(含)-60歲,363821,1473657239,373
201404,臺灣,百貨,60(含)-65歲,210913,845742256,374
201404,臺灣,百貨,65(含)-70歲,79341,308214810,375
201404,臺灣,百貨,70(含)-75歲,31645,121227319,376
201404,臺灣,百貨,75(含)-80歲,13622,49451761,377
201404,臺灣,百貨,80(含)歲以上,13342,47482145,378
201404,臺灣,其他,未滿20歲,14880,28136317,379
201404,臺灣,其他,20(含)-25歲,350073,747883378,380
201404,臺灣,其他,25(含)-30歲,1359056,3113726892,381
201404,臺灣,其他,30(含)-35歲,2476571,6318563782,382
201404,臺灣,其他,35(含)-40歲,2886080,8323166909,383
201404,臺灣,其他,40(含)-45歲,2595664,8419766010,384
201404,臺灣,其他,45(含)-50歲,2192020,7934730564,385
201404,臺灣,其他,50(含)-55歲,1550828,6367076312,386
201404,臺灣,其他,55(含)-60歲,964864,4425822843,387
201404,臺灣,其他,60(含)-65歲,520836,2615933105,388
201404,臺灣,其他,65(含)-70歲,168215,885091187,389
201404,臺灣,其他,70(含)-75歲,59038,360732979,390
201404,臺灣,其他,75(含)-80歲,18861,111771871,391
201404,臺灣,其他,80(含)歲以上,34244,197646602,392
201405,臺灣,食,未滿20歲,11292,16762334,393
201405,臺灣,食,20(含)-25歲,254816,281057267,394
201405,臺灣,食,25(含)-30歲,922908,1160481628,395
201405,臺灣,食,30(含)-35歲,1736998,2267392794,396
201405,臺灣,食,35(含)-40歲,2174036,2758950679,397
201405,臺灣,食,40(含)-45歲,2203049,2824519075,398
201405,臺灣,食,45(含)-50歲,2032050,2667731161,399
201405,臺灣,食,50(含)-55歲,1578831,2205191907,400
201405,臺灣,食,55(含)-60歲,1108945,1572181707,401
201405,臺灣,食,60(含)-65歲,713873,1003056629,402
201405,臺灣,食,65(含)-70歲,287743,392086786,403
201405,臺灣,食,70(含)-75歲,125338,165784656,404
201405,臺灣,食,75(含)-80歲,51817,67327351,405
201405,臺灣,食,80(含)歲以上,41897,60367896,406
201405,臺灣,衣,未滿20歲,3453,6978353,407
201405,臺灣,衣,20(含)-25歲,76301,153229898,408
201405,臺灣,衣,25(含)-30歲,208068,474854234,409
201405,臺灣,衣,30(含)-35歲,340456,816598032,410
201405,臺灣,衣,35(含)-40歲,353968,868504176,411
201405,臺灣,衣,40(含)-45歲,299219,787938115,412
201405,臺灣,衣,45(含)-50歲,241546,727435732,413
201405,臺灣,衣,50(含)-55歲,166000,567083432,414
201405,臺灣,衣,55(含)-60歲,100804,381452202,415
201405,臺灣,衣,60(含)-65歲,54117,210813246,416
201405,臺灣,衣,65(含)-70歲,17724,71241681,417
201405,臺灣,衣,70(含)-75歲,6108,23863515,418
201405,臺灣,衣,75(含)-80歲,1959,7969088,419
201405,臺灣,衣,80(含)歲以上,4863,19076474,420
201405,臺灣,住,未滿20歲,2143,20187231,421
201405,臺灣,住,20(含)-25歲,39832,139910183,422
201405,臺灣,住,25(含)-30歲,155655,612760631,423
201405,臺灣,住,30(含)-35歲,289968,1250990323,424
201405,臺灣,住,35(含)-40歲,340780,1556472330,425
201405,臺灣,住,40(含)-45歲,322984,1552278610,426
201405,臺灣,住,45(含)-50歲,290943,1528565239,427
201405,臺灣,住,50(含)-55歲,225389,1183829034,428
201405,臺灣,住,55(含)-60歲,157129,937962228,429
201405,臺灣,住,60(含)-65歲,93216,550494530,430
201405,臺灣,住,65(含)-70歲,35448,202718715,431
201405,臺灣,住,70(含)-75歲,14291,79136264,432
201405,臺灣,住,75(含)-80歲,5783,28312762,433
201405,臺灣,住,80(含)歲以上,6612,46554571,434
201405,臺灣,行,未滿20歲,21091,23372395,435
201405,臺灣,行,20(含)-25歲,400433,291599516,436
201405,臺灣,行,25(含)-30歲,1375562,1192295855,437
201405,臺灣,行,30(含)-35歲,2227870,2202216590,438
201405,臺灣,行,35(含)-40歲,2333761,2638974183,439
201405,臺灣,行,40(含)-45歲,2128574,2610249950,440
201405,臺灣,行,45(含)-50歲,1875067,2375212745,441
201405,臺灣,行,50(含)-55歲,1499003,1922901656,442
201405,臺灣,行,55(含)-60歲,1022718,1317902862,443
201405,臺灣,行,60(含)-65歲,578195,739670762,444
201405,臺灣,行,65(含)-70歲,197407,237073444,445
201405,臺灣,行,70(含)-75歲,69122,83997800,446
201405,臺灣,行,75(含)-80歲,20944,25736815,447
201405,臺灣,行,80(含)歲以上,21581,30528674,448
201405,臺灣,文教康樂,未滿20歲,8251,47023452,449
201405,臺灣,文教康樂,20(含)-25歲,188251,572019262,450
201405,臺灣,文教康樂,25(含)-30歲,524493,1812537799,451
201405,臺灣,文教康樂,30(含)-35歲,683925,2877863267,452
201405,臺灣,文教康樂,35(含)-40歲,660667,3228596808,453
201405,臺灣,文教康樂,40(含)-45歲,578117,3337376507,454
201405,臺灣,文教康樂,45(含)-50歲,475738,3189814456,455
201405,臺灣,文教康樂,50(含)-55歲,332081,2712104206,456
201405,臺灣,文教康樂,55(含)-60歲,208990,2069009555,457
201405,臺灣,文教康樂,60(含)-65歲,122851,1436123155,458
201405,臺灣,文教康樂,65(含)-70歲,47502,643742917,459
201405,臺灣,文教康樂,70(含)-75歲,19579,282247259,460
201405,臺灣,文教康樂,75(含)-80歲,7226,111589464,461
201405,臺灣,文教康樂,80(含)歲以上,10894,115882106,462
201405,臺灣,百貨,未滿20歲,8610,19521623,463
201405,臺灣,百貨,20(含)-25歲,199292,416573538,464
201405,臺灣,百貨,25(含)-30歲,645335,1542777370,465
201405,臺灣,百貨,30(含)-35歲,1080840,2643640335,466
201405,臺灣,百貨,35(含)-40歲,1171475,2927175600,467
201405,臺灣,百貨,40(含)-45歲,1011602,2716475697,468
201405,臺灣,百貨,45(含)-50歲,836617,2508968691,469
201405,臺灣,百貨,50(含)-55歲,595552,2016544264,470
